,ACFL,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BGGN,BHCO,BLBW,BLJA,BRTH,BTNW,BWWA,CACH,CARW,CEDW,CERW,CHSP,COYE,EAPH,EATO,EAWP,ETTI,FISP,GCFL,GRCA,HOWA,INBU,KEWA,LOWA,NOCA,NOPA,OVEN,PIWA,PRAW,RBGR,REVI,RWBL,SCTA,SUTA,WBNU,WEVI,WEWA,WOTH,YBCH,YTVI,YTWA
49,8,0,1,3,1,0,3,4,1,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,3,0,1,0,0,0,5,0,0,0,7,0,2,0,3,0,1,3,0,2,0
50,3,0,0,0,0,0,3,1,1,0,3,0,0,0,0,0,0,1,0,0,0,4,2,2,0,0,0,7,0,0,0,0,0,11,0,0,0,11,0,3,0,2,0,3,5,0,0,0
51,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,4,6,0,0,0
52,0,3,0,0,0,0,1,1,2,0,2,0,0,0,2,2,0,1,0,2,0,4,3,4,0,2,0,0,4,1,1,3,0,1,0,0,0,5,0,0,0,2,1,0,0,0,1,0
53,6,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,5,2,0,0,0,5,0,0,0,0,0,8,0,0,0,11,0,0,0,4,0,2,1,0,1,0
54,2,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,2,4,0,3,0,0,0,2,5,0,2,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
55,0,1,0,3,2,2,0,2,1,0,0,1,0,0,1,1,0,0,0,3,1,4,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,3,3,1,0,1,1,0,3,0,2,0
56,0,0,0,0,2,0,3,1,2,0,5,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,2,0,0,0,0,0,2,0,0,2,8,0,4,0,3,0,1,4,0,0,0
57,3,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,1
58,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,12,0,0,0,11,0,3,0,0,0,2,4,0,0,0
59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,0,0,0,0,0,7,0,0,0,9,0,2,0,1,0,0,0,0,1,0
60,2,0,0,0,0,0,4,1,5,0,1,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,5,0,2,0,3,0,7,0,1,0,7,0,6,0,5,3,4,5,0,0,0
61,2,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,5,0,0,0,5,0,5,0,0,0,5,4,0,0,0
62,8,0,0,9,0,0,0,2,4,0,1,0,0,0,3,0,0,3,0,2,0,3,0,3,0,1,1,1,2,1,1,5,3,4,0,0,0,11,0,3,0,1,1,0,1,0,0,0
63,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,6,0,0,0,2,0,3,0,0,0,7,0,2,0,1,0,2,1,0,0,0
64,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,10,0,6,0,3,0,1,3,0,0,0
65,2,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,3,1,3,0,0,0,4,0,3,0,0,0,5,0,0,0,9,0,6,0,0,0,0,2,0,0,0
66,3,1,0,4,0,0,3,0,1,0,2,0,1,0,0,0,0,6,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,3,0,0,1,11,0,6,0,5,0,2,3,0,2,0
67,13,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,3,3,1,0,2,0,0,0,5,0,2,0,1,0,0,2,0,0,0
68,8,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,2,0,1,0,0,0,6,0,3,0,2,0,2,7,0,0,0
69,10,0,0,1,5,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,2,0,0,6,0,0,0,12,0,2,0,3,0,3,4,0,1,0
70,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,2,0,0,0,2,1,0,2,0
71,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,3,0,2,0,0,2,0,0,0
72,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,0,7,0,0,0,1,0,2,0,0,0,8,0,2,0,0,0,2,3,0,0,0
73,5,0,0,1,2,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,2,0,1,2,0,1,0
74,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,7,7,0,0,8,0,3,0,0,0,1,1,0,1,3
75,5,2,0,4,0,0,0,2,2,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,8,0,0,0,7,0,1,0,2,0,3,3,0,2,0
76,3,0,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,10,0,0,0,0,0,3,0,0,0,9,0,4,0,1,0,1,6,0,1,0
77,6,0,0,2,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,2,0,1,4,3,0,3,0,0,0,3,0,3,0,0,0,1,1,0,1,0
78,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,1,0,0,0,4,0,3,0,1,0,1,3,0,0,0
79,2,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,9,2,0,0,8,0,3,0,1,0,2,3,0,2,0
80,6,0,0,2,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,8,0,1,0,2,0,0,2,0,0,0
81,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,6,0,0,0,9,0,5,0,0,0,2,0,0,1,0
82,0,0,1,1,0,0,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,6,0,0,0,0,0,6,0,0,0,9,0,0,0,1,0,0,0,0,3,0
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,4,0,0,0,2,2,0,0,0
